K_cap,k_low,-,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
23,12,0.385755142702,0.385755142702,0.385755142702,0.385755142702,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,12,0.385755142702,0.385755142702,0.385755142702,0.385755142702,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,12,0.384752487736,0.376122654917,0.377848621481,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
10,9,0.384343645357,0.384343645357,0.384343645357,0.384343645357,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
15,9,0.382719468751,0.382641999904,0.382657493673,0.382641999904,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,11,0.382266201567,0.376122654917,0.381037492237,0.382266201567,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,12,0.382266201567,0.376122654917,0.381037492237,0.382266201567,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
18,9,0.381987425181,0.381987425181,0.381987425181,0.381987425181,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
16,9,0.381987425181,0.377996402725,0.378794607216,0.377996402725,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
19,9,0.381887502539,0.381887502539,0.381887502539,0.381887502539,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,8,0.381220123609,0.381220123609,0.381220123609,0.381220123609,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
14,9,0.380036338196,0.380036338196,0.380036338196,0.380036338196,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,8,0.380035782762,0.378771621206,0.379024453517,0.378771621206,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,11,0.379551748596,0.37560399514,0.376393545831,0.37560399514,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
14,8,0.379397791661,0.379397791661,0.379397791661,0.379397791661,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
9,8,0.379391377725,0.379391377725,0.379391377725,0.379391377725,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,12,0.3793610153,0.375706778116,0.376437625553,0.375706778116,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,11,0.378953023471,0.377849372321,0.378732293241,0.378953023471,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
13,9,0.378723481008,0.378723481008,0.378723481008,0.378723481008,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
13,10,0.378580720956,0.378111401993,0.378486857163,0.378580720956,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
15,8,0.377996402725,0.377996402725,0.377996402725,0.377996402725,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,8,0.377893746773,0.377893746773,0.377893746773,0.377893746773,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,8,0.377893746773,0.375198595688,0.377354716556,0.377893746773,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,8,0.377893746773,0.377893746773,0.377893746773,0.377893746773,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
19,8,0.377893746773,0.374395146356,0.37509486644,0.374395146356,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,11,0.377849372321,0.376122654917,0.376467998397,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,11,0.377849372321,0.37613980433,0.377507458722,0.377849372321,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,11,0.377849372321,0.377849372321,0.377849372321,0.377849372321,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,11,0.377849372321,0.377849372321,0.377849372321,0.377849372321,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,8,0.376961472483,0.376961472483,0.376961472483,0.376961472483,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,8,0.376961472483,0.376961472483,0.376961472483,0.376961472483,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,8,0.376961472483,0.375749645964,0.376719107179,0.376961472483,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
15,7,0.376234151762,0.376234151762,0.376234151762,0.376234151762,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,11,0.37613980433,0.376122654917,0.376136374447,0.37613980433,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,11,0.37613980433,0.376122654917,0.376126084799,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,11,0.376122654917,0.376122654917,0.376122654917,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,11,0.376122654917,0.376122654917,0.376122654917,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,11,0.376122654917,0.376122654917,0.376122654917,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,12,0.376122654917,0.370653814874,0.375028886908,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
13,8,0.375860064144,0.374500230076,0.37558809733,0.375860064144,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,11,0.37560399514,0.37560399514,0.37560399514,0.37560399514,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,8,0.373483455256,0.373483455256,0.373483455256,0.373483455256,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,7,0.373469767461,0.367357910361,0.372247396041,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
