K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
80,50,0,0.469468887325,0.469468887325,0.469468887325,0.469468887325,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,27,0,0.468724746322,0.468724746322,0.468724746322,0.468724746322,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,-1,2,0.468517808139,0.465428338308,0.467899914172,0.468517808139,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
25,22,0,0.468411879277,0.468411879277,0.468411879277,0.468411879277,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,19,0,0.467700137253,0.467700137253,0.467700137253,0.467700137253,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,20,0,0.467503961696,0.467503961696,0.467503961696,0.467503961696,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,18,0,0.4666351345,0.4666351345,0.4666351345,0.4666351345,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
18,16,0,0.46638420953,0.46638420953,0.46638420953,0.46638420953,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,22,0,0.466042921806,0.466042921806,0.466042921806,0.466042921806,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,50,0,0.465551790249,0.465551790249,0.465551790249,0.465551790249,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,55,0,0.465551790249,0.465551790249,0.465551790249,0.465551790249,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,22,0,0.465262687764,0.465262687764,0.465262687764,0.465262687764,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,20,0,0.464928937274,0.462907887463,0.463312097425,0.462907887463,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
14,13,0,0.464489419189,0.464489419189,0.464489419189,0.464489419189,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
18,15,0,0.464389797616,0.464389797616,0.464389797616,0.464389797616,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,16,0,0.464158929844,0.457948248762,0.462916793628,0.464158929844,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
17,15,0,0.463689709479,0.463689709479,0.463689709479,0.463689709479,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
