K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med
550,15,0.222481334057,0.222481334057,0.222481334057,0.222481334057
550,1.1,0.217328684456,0.217328684456,0.217328684456,0.217328684456
150,2.4,0.217138528223,0.216807903604,0.216874028528,0.216807903604
500,10,0.216643289949,0.216285482487,0.216571728457,0.216643289949
500,9,0.216525655731,0.216525655731,0.216525655731,0.216525655731
500,8.5,0.216525655731,0.216460159711,0.216473258915,0.216460159711
500,5.5,0.216421154795,0.216421154795,0.216421154795,0.216421154795
500,8,0.216415818576,0.216051188362,0.216342892533,0.216415818576
500,6,0.216533165401,0.21634081669,0.216379286433,0.21634081669
500,11,0.216327450802,0.216327450802,0.216327450802,0.216327450802
500,11.5,0.216327450802,0.216327450802,0.216327450802,0.216327450802
500,12,0.216327450802,0.216305839838,0.216310162031,0.216305839838
500,13.5,0.216305839838,0.216305839838,0.216305839838,0.216305839838
500,14,0.216305839838,0.215998490219,0.216244369915,0.216305839838
500,14.5,0.216305839838,0.21625021589,0.216294715049,0.216305839838
500,15,0.216305839838,0.216305839838,0.216305839838,0.216305839838
500,9.5,0.216285482487,0.216241455012,0.216276676992,0.216285482487
500,12.5,0.216305839838,0.216266481973,0.216274353546,0.216266481973
500,13,0.216305839838,0.216266481973,0.216274353546,0.216266481973
500,16,0.216305839838,0.216266481973,0.216274353546,0.216266481973
500,15.5,0.216266481973,0.216266481973,0.216266481973,0.216266481973
150,2.3,0.216183159134,0.216183159134,0.216183159134,0.216183159134
500,6.5,0.216497225036,0.216091713218,0.216172815582,0.216091713218
500,7,0.216467821376,0.21604386032,0.216128652532,0.21604386032
500,7.5,0.216168871287,0.216015923884,0.216046513364,0.216015923884
500,4.5,0.216060396355,0.215909006958,0.215939284837,0.215909006958
500,10.5,0.216285482487,0.215885186536,0.215965245726,0.215885186536
500,4,0.215582300746,0.215224898997,0.215510820396,0.215582300746
500,5,0.216720265972,0.215562062347,0.215793703072,0.215562062347
150,2.5,0.215529107319,0.215529107319,0.215529107319,0.215529107319
500,3.5,0.2137722459,0.21031811344,0.213081419408,0.2137722459
450,2.7,0.212070610629,0.211855651183,0.21202761874,0.212070610629
450,3.5,0.211584302056,0.211584302056,0.211584302056,0.211584302056
450,3,0.211777034066,0.211318992185,0.211410600561,0.211318992185
500,3,0.210298225342,0.209661539394,0.209788876583,0.209661539394
500,1.5,0.209198589362,0.209181017356,0.209184531757,0.209181017356
500,2.1,0.208970704481,0.20727905831,0.208632375247,0.208970704481
500,2.7,0.20783864584,0.207529871756,0.207591626573,0.207529871756
500,2.2,0.207376989581,0.206716940068,0.207244979678,0.207376989581
500,2.6,0.207065492324,0.206810598474,0.207014513554,0.207065492324
450,6,0.206338642302,0.204954098499,0.206061733542,0.206338642302
450,10.5,0.206139754526,0.205905480735,0.206092899768,0.206139754526
450,12.5,0.206132762618,0.20612755392,0.206131720879,0.206132762618
450,13,0.206132762618,0.206132762618,0.206132762618,0.206132762618
450,13.5,0.206132762618,0.206132762618,0.206132762618,0.206132762618
450,14,0.206132762618,0.206132762618,0.206132762618,0.206132762618
450,15,0.206132762618,0.206132762618,0.206132762618,0.206132762618
450,15.5,0.206132762618,0.206132762618,0.206132762618,0.206132762618
450,16,0.206132762618,0.206132762618,0.206132762618,0.206132762618
450,12,0.206132762618,0.20612755392,0.206128595659,0.20612755392
450,10,0.20612755392,0.205915663553,0.206085175846,0.20612755392
450,11,0.20612755392,0.206041838042,0.206110410744,0.20612755392
500,2.4,0.206121291026,0.205626544325,0.206022341686,0.206121291026
450,8.5,0.20611559103,0.206034416499,0.206099356124,0.20611559103
450,5,0.206092208272,0.206064329057,0.206086632429,0.206092208272
450,8,0.206034416499,0.206034416499,0.206034416499,0.206034416499
450,4,0.205977035435,0.205936420193,0.205968912387,0.205977035435
450,11.5,0.206041838042,0.20597633547,0.205989435985,0.20597633547
450,14.5,0.206132762618,0.205933329864,0.205973216415,0.205933329864
450,9.5,0.206041838042,0.205915663553,0.205940898451,0.205915663553
450,9,0.206058401543,0.205852096674,0.205893357648,0.205852096674
500,1.1,0.205851065607,0.205231339154,0.205727120317,0.205851065607
